accuracy,rmse,l1,iou,dice,n_samples
1e-05,0.059928357043370524,0.03539390497002751,0.0,0.0,4000
0.0001,0.10726035325247311,0.10143872492201626,0.0,0.0,4000
0.001,0.06581773167329948,0.044646353551186624,0.0,0.0,4000
0.01,0.06810221341358358,0.04795028200000524,0.0,0.0,4000
0.1,0.1344428201608699,0.12544402022659779,0.0,0.0,4000
